date,close,volume
2021-10-25 18:00:00,5.8100,0
2021-10-29 18:00:00,5.8100,0
2024-08-30 16:00:00,5.8100,0
2024-09-02 16:00:00,5.8100,0
2024-09-03 16:00:00,5.8100,0
2024-09-04 16:00:00,5.8100,0
2024-09-05 16:00:00,5.8100,0
2024-09-06 16:00:00,5.8100,0
2024-09-09 16:00:00,5.8100,0
2024-09-10 16:00:00,5.8100,0
2024-09-11 16:00:00,5.8100,0
2024-09-12 16:00:00,5.8100,0
2024-09-13 16:00:00,5.8100,0
2024-09-16 16:00:00,5.8100,0
2024-09-18 16:00:00,5.8100,0
2024-09-19 16:00:00,5.8100,0
2024-09-20 16:00:00,5.8100,0
2024-09-23 16:00:00,5.8100,0
2024-09-24 16:00:00,5.8100,0
2024-09-25 16:00:00,5.8100,0
2024-09-26 16:00:00,5.8100,0
2025-08-15 16:00:00,6.8100,5701
2025-08-18 16:00:00,7.8000,1701
2025-08-19 16:00:00,8.7400,101
2025-08-20 16:00:00,9.7400,11101
2025-08-21 16:00:00,10.7400,1200
2025-08-22 16:00:00,11.8100,3626
2025-08-25 16:00:00,12.9900,2824
2025-08-26 16:00:00,14.2900,15897
2025-08-27 16:00:00,15.7200,522829
2025-08-28 16:00:00,17.2900,330020
2025-08-29 16:00:00,19.0200,287023
2025-09-01 16:00:00,20.9200,255037
2025-09-02 16:00:00,23.0100,158766
2025-09-03 16:00:00,21.2200,1081853
2025-09-04 16:00:00,19.4200,293852
2025-09-05 16:00:00,18.7000,227519
2025-09-08 16:00:00,18.4800,100148
2025-09-09 16:00:00,19.8000,486311
2025-09-10 16:00:00,19.1300,41285
2025-09-11 16:00:00,18.5500,98830
2025-09-12 16:00:00,18.0000,48090
2025-09-15 16:00:00,18.0000,608403
2025-09-16 16:00:00,17.7000,31994
2025-09-17 16:00:00,18.2300,752317
2025-09-18 16:00:00,17.9500,87192
2025-09-19 16:00:00,17.7900,43468
2025-09-22 16:00:00,17.5500,17227
2025-09-23 16:00:00,17.4400,6396
2025-09-24 16:00:00,17.1800,19644
2025-09-25 16:00:00,16.9600,26059
2025-09-26 16:00:00,16.5700,91020
2025-09-29 16:00:00,16.4200,41728
2025-09-30 16:00:00,15.7900,26426
2025-10-01 16:00:00,15.7200,57005
2025-10-02 16:00:00,17.2900,329345
2025-10-03 16:00:00,16.7300,943904
2025-10-06 16:00:00,16.3000,53504
2025-10-07 16:00:00,16.0000,7001
2025-10-08 16:00:00,15.4700,32254
2025-10-09 16:00:00,15.1900,75310
2025-10-10 16:00:00,15.0400,77199
2025-10-13 16:00:00,14.3300,18004
2025-10-14 16:00:00,15.1400,17110
2025-10-15 16:00:00,15.0200,20025
2025-10-16 16:00:00,16.4800,382985
2025-10-17 16:00:00,16.4400,112880
2025-10-20 16:00:00,16.0000,36339
2025-10-21 16:00:00,15.8500,4648
2025-10-22 16:00:00,15.7000,41257
2025-10-23 16:00:00,15.5000,215247
2025-10-24 16:00:00,14.9500,217550
2025-10-27 16:00:00,15.1600,16015
2025-10-28 16:00:00,15.0400,35304
2025-10-29 16:00:00,14.9700,4304
2025-10-30 16:00:00,14.9000,16003
2025-10-31 16:00:00,14.5300,79650
2025-11-03 16:00:00,14.0000,277564
2025-11-04 16:00:00,14.0100,31984
2025-11-05 16:00:00,14.0500,28108
2025-11-06 16:00:00,14.4000,28765
2025-11-07 16:00:00,14.1100,3082
2025-11-10 16:00:00,13.9600,69207
2025-11-11 16:00:00,13.9700,16311
2025-11-12 16:00:00,13.8600,507618
2025-11-13 16:00:00,13.5600,21967
2025-11-14 16:00:00,14.9200,282071
2025-11-17 16:00:00,16.3600,1316434
2025-11-18 16:00:00,15.9200,426488
2025-11-19 16:00:00,15.6000,78368
2025-11-20 16:00:00,16.3800,100230
2025-11-21 16:00:00,15.5700,255435
2025-11-24 16:00:00,15.0700,45970
2025-11-25 16:00:00,14.9800,16330
2025-11-26 16:00:00,14.8700,26118
2025-11-27 16:00:00,14.4200,40158
2025-11-28 16:00:00,14.6500,20002
2025-12-01 16:00:00,15.0000,8762
2025-12-02 16:00:00,15.4900,77191
2025-12-03 16:00:00,15.6500,58409
2025-12-04 16:00:00,15.3400,7049
2025-12-05 16:00:00,15.0000,37005
2025-12-08 16:00:00,15.0000,43139
2025-12-09 16:00:00,15.0000,11886
2025-12-10 16:00:00,14.6400,26219
2025-12-11 16:00:00,15.0000,25020
2025-12-12 16:00:00,14.8300,34292
2025-12-15 16:00:00,15.4000,89372
2025-12-16 16:00:00,15.2500,10676
2025-12-17 16:00:00,15.0600,37343
2025-12-18 16:00:00,15.1000,9941
2025-12-19 16:00:00,15.0200,6901
2025-12-22 16:00:00,14.9900,4003
2025-12-23 16:00:00,14.8200,2439
2025-12-24 16:00:00,14.4100,13234
2025-12-26 16:00:00,14.6200,50899
2025-12-29 16:00:00,14.2900,65447
2025-12-30 16:00:00,14.2700,70022
2025-12-31 16:00:00,14.2900,20785
2026-01-01 16:00:00,14.8800,529171
2026-01-02 16:00:00,15.2500,90050
2026-01-05 16:00:00,14.9700,115102
2026-01-06 16:00:00,14.8400,19645
2026-01-07 16:00:00,14.3700,91526
2026-01-08 16:00:00,14.5700,117548
2026-01-09 16:00:00,14.4200,6101
2026-01-12 16:00:00,14.2300,66048
2026-01-13 16:00:00,14.5000,22457
2026-01-14 16:00:00,14.0500,17203
2026-01-15 16:00:00,14.0100,11254
2026-01-16 16:00:00,14.2000,27302
2026-01-19 16:00:00,15.0900,148168
2026-01-20 16:00:00,14.7200,38674
2026-01-21 16:00:00,14.7000,11906
2026-01-22 16:00:00,14.5900,22403
2026-01-23 16:00:00,14.5000,10967
2026-01-26 16:00:00,14.3400,15813
2026-01-27 16:00:00,13.8200,32787
2026-01-28 16:00:00,13.6600,25152
2026-01-29 16:00:00,13.5800,10189
2026-01-30 16:00:00,14.3900,15051
2026-02-02 16:00:00,13.6100,15857
2026-02-03 16:00:00,13.8100,9733
2026-02-04 16:00:00,13.5300,46863
2026-02-06 16:00:00,13.8100,630
